,,2022,2022,2021,2021,,Part.(%) - Total Brasil,Part.(%) - Total Brasil
,,Valor,MD,Valor,MD,Var.% (MD),2022,2021
0,C - Indústria de Transformação,8010.6,801.06,11561.63,578.08,38.57,51.46,44.36
1,Óleos combustíveis de petróleo,883.13,88.31,830.65,41.53,112.63,5.67,3.18
2,Carne bovina,553.15,55.31,597.99,29.89,85.0,3.55,2.29
3,Farelos de soja e outros alimentos para animais,466.15,46.61,670.22,33.51,39.1,2.99,2.57
4,Carnes de aves,434.65,43.46,547.7,27.38,58.71,2.79,2.1
5,Celulose,369.76,36.97,621.94,31.09,18.9,2.37,2.38
6,Produtos semi-acabados de ferro e aço,328.67,32.86,490.79,24.53,33.93,2.11,1.88
7,Açúcares e melaços,246.97,24.69,589.42,29.47,-16.19,1.58,2.26
8,Ferro-gusa e outros,224.18,22.41,430.49,21.52,4.15,1.44,1.65
9,Veículos automóveis de passageiros,216.78,21.67,272.98,13.64,58.82,1.39,1.04
10,Gorduras e óleos vegetais,215.63,21.56,256.98,12.84,67.81,1.38,0.98
11,Demais produtos,4071.46,407.14,6252.43,312.62,30.23,26.15,23.99
