,,2022,2022,2021,2021,,Part.(%) - Total Brasil,Part.(%) - Total Brasil
,,Valor,MD,Valor,MD,Var.% (MD),2022,2021
0,C - Indústria de Transformação,9323.24,932.32,14523.92,726.19,28.38,92.47,90.23
1,Óleos combustíveis de petróleo,909.47,90.94,1102.18,55.1,65.03,9.02,6.84
2,Adubos ou fertilizantes químicos ,859.2,85.92,527.96,26.39,225.48,8.52,3.28
3,Válvulas e tubos,375.4,37.54,599.59,29.97,25.21,3.72,3.72
4,Compostos organo-inorgânicos,352.82,35.28,426.97,21.34,65.26,3.49,2.65
5,Partes e acessórios dos veículos automotivos,328.15,32.81,637.94,31.89,2.87,3.25,3.96
6,Equipamentos de telecomunicações,271.73,27.17,619.32,30.96,-12.24,2.69,3.84
7,Medicamentos e produtos farmacêuticos,265.09,26.5,397.2,19.86,33.47,2.62,2.46
8,"Outros medicamentos, incluindo veterinários",210.43,21.04,345.97,17.29,21.64,2.08,2.14
9,Motores e máquinas não elétricos,208.0,20.8,307.02,15.35,35.49,2.06,1.9
10,Inseticidas e outros,189.66,18.96,168.76,8.43,124.76,1.88,1.04
11,Demais produtos,5353.24,535.32,9390.97,469.54,14.0,53.09,58.34
